,DistrictId,Rooms_square,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,Price
28,23,1.0,42.530045,1.0,1.0,3.0,9.0,8,0.03465608,0,168,0,1106.1093,0,0,0,1,0,1,0,1,95338.195
29,11,0.32051015,48.37223,0.6410203,6.0,4.0,9.0,50,0.000169676,36,5992,0,1106.1093,1,1,0,1,0,1,0,1,213374.17
30,50,0.2964052,39.435352,0.5928104,7.0,9.0,9.0,57,0.007658515,35,7077,56,2301.0,3,19,0,1,0,1,0,1,283877.62
31,61,0.4631417,41.765156,0.4631417,9.0,12.0,16.0,38,0.30032253,52,10311,6,1106.1093,1,9,0,1,0,1,0,1,189007.23
32,27,0.29268447,63.679115,0.58536893,1.0,9.0,15.0,45,0.017647052,2,469,0,1106.1093,0,0,0,1,0,1,0,1,178721.7
33,44,0.523759,34.767227,0.523759,6.0,7.0,9.0,50,0.036122292,24,4378,0,1036.0,1,1,0,1,0,1,0,1,154928.81
34,90,0.33295202,42.17678,0.66590405,5.0,2.0,5.0,57,0.26508868,37,5288,0,1937.0,3,2,0,1,0,1,0,1,176344.83
35,200,0.22845411,85.28039,0.68536234,9.0,5.0,5.0,62,0.0,33,7425,1,1106.1093,2,5,0,1,0,1,0,1,402871.9
36,23,1.0,41.118767,1.0,1.0,4.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,103510.23
37,43,0.30148005,43.70166,0.6029601,5.0,5.0,9.0,61,0.015016892,17,3079,59,2890.0,0,8,0,1,0,1,0,1,287056.0
38,177,0.20970273,77.87394,0.6291082,12.0,9.0,25.0,10,0.0,36,6714,2,2672.0,0,2,0,1,0,1,0,1,191550.12
39,23,0.5,60.50325,1.0,5.8617096,0.0,0.0,45,0.03465608,0,168,0,1106.1093,0,0,0,1,0,1,0,1,229778.06
40,99,0.36031693,45.257137,0.72063386,5.0,4.0,5.0,51,0.03349371,66,10573,1,1322.0,3,8,0,1,0,1,0,1,171266.95
41,101,0.21268821,58.419815,0.6380646,5.0,5.0,5.0,59,0.22582495,41,6558,7,1548.0,3,2,1,0,0,1,0,1,197456.92
42,1,0.4843281,56.494316,0.9686562,5.8617096,9.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,196078.9
43,23,0.5,58.69213,1.0,1.0,16.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,184501.02
44,38,0.33333334,104.211395,1.0,5.8617096,0.0,0.0,5,0.060753047,15,2787,2,520.0,0,7,0,1,0,1,0,1,435462.06
45,21,0.34321633,48.85174,0.68643266,5.0,5.0,5.0,52,0.19448927,47,8004,3,125.0,3,5,0,1,0,1,0,1,183826.31
46,23,0.5,49.92949,1.0,1.0,9.0,12.0,45,0.03465608,0,168,0,1106.1093,0,0,0,1,0,1,0,1,88464.42
47,103,0.5607602,41.53814,0.5607602,8.0,7.0,16.0,41,0.014423114,19,3806,4,1106.1093,0,3,0,1,0,1,0,1,234052.27
48,23,0.99422026,47.0801,0.99422026,12.0,3.0,9.0,45,0.014072961,2,475,0,1106.1093,0,0,0,1,0,1,0,1,96029.164
49,98,0.49565402,41.270615,0.49565402,7.0,8.0,14.0,19,0.19578105,23,5212,6,1106.1093,3,2,0,1,0,1,0,1,214733.34
50,170,0.6124737,35.390236,0.6124737,5.0,3.0,5.0,59,0.21843974,21,4472,6,1450.0,4,7,0,1,0,1,1,0,172795.86
51,94,0.66194963,35.280895,0.66194963,6.0,9.0,9.0,51,0.28279766,33,8667,2,1106.1093,0,6,0,1,0,1,0,1,148862.2
52,1,0.5,61.400055,1.0,5.8617096,17.0,22.0,6,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,199215.45
53,44,0.6567696,31.893484,0.6567696,7.0,3.0,14.0,49,0.17505486,36,10055,3,1106.1093,1,0,0,1,0,1,0,1,182946.36
54,1,1.0,42.414177,1.0,1.0,14.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,156476.61
55,48,0.21324529,60.496735,0.6397359,6.0,4.0,9.0,42,0.041124634,46,9515,5,1106.1093,1,10,0,1,0,1,0,1,276349.9
56,5,0.2858931,54.477432,0.5717862,7.0,14.0,22.0,31,0.15081754,16,3433,4,2643.0,4,5,0,1,0,1,0,1,279119.9
57,23,0.5,56.2187,1.0,1.0,3.0,3.0,45,0.005767451,1,388,0,1106.1093,0,0,0,1,0,1,0,1,90303.664
58,28,0.61254877,38.007935,0.61254877,9.0,1.0,12.0,52,0.11853738,30,6207,1,1183.0,1,0,0,1,0,1,0,1,147636.77
59,11,0.2772734,57.322495,0.5545468,10.0,5.0,16.0,42,0.000169676,36,5992,0,1106.1093,1,1,0,1,0,1,0,1,242402.23
60,88,0.32863632,47.317528,0.65727264,6.0,6.0,12.0,47,0.1273759,43,8429,3,1106.1093,3,9,0,1,0,1,0,1,207641.67
61,1,0.5,65.023895,1.0,1.0,10.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,197343.8
62,47,0.30583847,54.787323,0.61167693,8.0,1.0,12.0,44,6.99893e-05,46,10309,1,240.0,1,16,0,1,0,1,0,1,100471.95
63,6,1.0,42.50553,1.0,1.0,6.0,12.0,8,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,113617.22
64,52,0.5,64.14115,1.0,1.0,5.0,17.0,45,0.371149,34,7065,1,750.0,2,5,0,1,0,1,0,1,158148.94
65,62,1.0,41.194187,1.0,5.8617096,0.0,0.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,114063.09
66,31,0.27842322,57.955975,0.55684644,9.0,17.0,17.0,21,0.15134622,32,5889,10,830.0,4,1,0,1,1,0,0,1,339414.56
67,57,0.31699425,45.96489,0.6339885,5.0,5.0,5.0,59,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,180538.9
68,77,0.56043303,42.678844,0.56043303,8.0,12.0,12.0,39,6.99893e-05,46,10309,1,240.0,1,16,0,1,0,1,0,1,179784.47
69,27,0.48749024,64.9291,0.9749805,10.0,15.0,17.0,6,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,228584.0
70,27,0.5,79.22705,1.0,5.8617096,0.0,0.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,167023.97
71,74,0.48357388,84.68773,0.96714777,5.8617096,12.0,17.0,5,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,243479.88
72,74,0.9993472,52.45759,0.9993472,5.8617096,17.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,160292.16
73,79,0.46969035,39.429665,0.46969035,9.0,2.0,16.0,41,0.16909109,19,3856,10,1106.1093,2,5,0,1,0,1,0,1,174952.64
74,6,0.4838447,63.18442,0.9676894,1.0,17.0,17.0,6,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,190762.98
75,9,0.48409557,50.299168,0.48409557,9.0,11.0,16.0,16,0.13624443,11,2370,0,1106.1093,0,1,0,1,0,1,0,1,197101.05
76,34,0.8929866,47.90933,0.8929866,1.0,1.0,1.0,6,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,181167.64
77,85,0.18188062,65.55984,0.7275225,6.0,6.0,9.0,46,0.03717782,52,11217,1,2300.0,1,7,0,1,0,1,0,1,266989.03
78,156,0.55013794,39.248928,0.55013794,7.0,13.0,17.0,13,0.007658515,35,7077,56,2301.0,3,19,0,1,0,1,0,1,254236.33
79,69,0.49408886,39.252556,0.49408886,7.0,1.0,16.0,37,0.000991363,33,6783,3,1106.1093,1,9,0,1,0,1,0,1,184737.92
80,108,0.31674132,49.88874,0.63348264,6.0,9.0,12.0,48,0.0,23,3684,2,1106.1093,0,4,0,1,0,1,0,1,261086.03
81,96,0.28050518,62.78381,0.56101036,10.0,5.0,10.0,28,0.041116353,53,14892,4,1106.1093,1,4,0,1,0,1,0,1,259293.02
82,169,0.26600263,58.43361,0.53200525,8.0,3.0,14.0,52,0.21047324,11,2398,2,1994.0,3,0,0,1,0,1,0,1,116661.59
83,18,0.26766762,61.71855,0.53533524,10.0,10.0,11.0,22,0.0,30,5562,0,1106.1093,0,5,0,1,0,1,1,0,267609.8
84,21,0.53917825,42.501225,0.53917825,8.0,2.0,12.0,43,0.19448927,47,8004,3,125.0,3,5,0,1,0,1,0,1,153038.22
85,27,0.3052247,54.583233,0.6104494,11.0,2.0,9.0,22,0.041116353,53,14892,4,1106.1093,1,4,0,1,0,1,0,1,238779.45
86,148,0.33333334,127.48158,1.0,1.0,1.0,1.0,10,0.31392455,22,4625,11,3855.0,2,10,0,1,0,1,0,1,510700.44
87,94,0.32599297,47.145626,0.65198594,5.0,9.0,9.0,46,0.1273759,43,8429,3,1106.1093,3,9,0,1,0,1,0,1,210364.31
88,41,0.29988447,48.07704,0.59976894,5.0,5.0,9.0,54,0.17505486,36,10055,3,1106.1093,1,0,0,1,0,1,0,1,198183.08
89,128,0.326571,52.082184,0.653142,8.0,7.0,17.0,28,0.0,27,4798,0,30.0,2,8,0,1,0,1,0,1,243824.8
90,10,0.32273132,50.29076,0.64546263,6.0,12.0,12.0,49,0.08903972,33,7976,5,1106.1093,0,11,0,1,0,1,0,1,242107.1
91,144,0.3254985,49.03079,0.650997,8.0,2.0,5.0,58,0.30697748,27,5148,14,1575.0,5,7,0,1,0,1,0,1,212786.0
92,120,0.21304362,58.57037,0.63913083,5.0,4.0,5.0,61,0.34107193,27,5664,48,2300.0,3,11,0,1,0,1,0,1,305732.6
93,39,0.6135153,34.19821,0.6135153,6.0,7.0,9.0,49,0.42882583,25,5011,8,730.0,0,2,0,1,0,1,0,1,156375.02
94,7,0.2055871,74.971054,0.6167613,10.0,16.0,17.0,35,0.0,23,5067,4,1106.1093,2,6,0,1,0,1,0,1,415398.56
95,34,0.033357356,61.33497,0.06671471,1.0,1.0,1.0,8,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,286564.44
96,27,0.29472068,58.93728,0.58944136,11.0,2.0,7.0,24,0.041116353,53,14892,4,1106.1093,1,4,0,1,0,1,0,1,217349.25
97,84,0.20378686,63.728237,0.6113606,6.0,9.0,9.0,51,0.14966637,22,4789,2,4087.0,4,1,0,1,0,1,0,1,291058.1
98,23,1.0,41.8457,1.0,1.0,14.0,17.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,110620.63
99,61,0.63672054,33.646713,0.63672054,5.0,8.0,9.0,47,0.30032253,52,10311,6,1106.1093,1,9,0,1,0,1,0,1,165018.95
100,1,0.9187619,50.617767,0.9187619,1.0,10.0,24.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,175188.95
101,1,0.2520697,62.969902,0.5041394,10.0,14.0,14.0,8,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,92127.06
102,123,0.28527537,58.91192,0.57055074,9.0,12.0,17.0,17,0.0,47,11319,0,1145.0,3,5,0,1,0,1,0,1,274570.72
103,23,0.5,48.76013,1.0,1.0,3.0,3.0,45,0.03465608,0,168,0,1106.1093,0,0,0,1,0,1,0,1,113250.43
104,9,0.5,62.347153,1.0,1.0,1.0,1.0,45,0.16153175,25,5648,1,30.0,2,4,0,1,0,1,0,1,184172.97
105,1,0.32733434,53.18797,0.6546687,8.0,7.0,17.0,32,0.025609156,33,5261,0,240.0,3,1,0,1,0,1,0,1,241419.6
106,57,0.22829433,64.0151,0.684883,6.0,10.0,12.0,38,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,270071.62
107,159,0.21811663,61.80902,0.65434986,6.0,2.0,9.0,50,0.015016892,17,3079,59,2890.0,0,8,0,1,0,1,0,1,378581.53
108,27,0.4701036,62.224567,0.9402072,1.0,8.0,17.0,6,0.017647052,2,469,0,1106.1093,0,0,0,1,0,1,0,1,192625.05
109,70,0.2991524,45.592915,0.5983048,6.0,3.0,9.0,41,0.002211665,39,7614,3,1106.1093,1,5,0,1,0,1,1,0,201121.08
110,39,0.5229999,35.68306,0.5229999,7.0,12.0,12.0,45,0.42882583,25,5011,8,730.0,0,2,0,1,0,1,0,1,150513.47
111,94,0.33179122,39.900425,0.66358244,6.0,12.0,14.0,40,0.28279766,33,8667,2,1106.1093,0,6,0,1,0,1,0,1,204804.84
112,129,0.2209248,65.68347,0.6627744,7.0,11.0,12.0,45,0.020741327,24,5613,5,1340.0,2,5,0,1,0,1,0,1,313452.53
113,3,0.5055028,42.145275,0.5055028,10.0,3.0,14.0,38,0.26508868,37,5288,0,1937.0,3,2,0,1,0,1,0,1,225889.69
114,95,0.39001146,42.38957,0.7800229,5.0,1.0,5.0,59,0.0,7,1660,39,1786.0,1,5,0,1,0,1,0,1,224746.81
115,27,0.5,60.445854,1.0,1.0,1.0,1.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,213798.19
116,78,0.43719006,44.57041,0.43719006,10.0,18.0,24.0,11,0.09229064,21,4346,2,165.0,1,2,0,1,0,1,0,1,212821.67
117,1,0.5,65.00928,1.0,1.0,9.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,186403.48
118,18,0.20551248,76.23514,0.61653745,10.0,9.0,17.0,25,0.0,30,5562,0,1106.1093,0,5,0,1,0,1,1,0,293371.97
119,45,0.9444203,42.36729,0.9444203,1.0,14.0,14.0,7,0.19578105,23,5212,6,1106.1093,3,2,0,1,0,1,0,1,250466.98
120,15,0.1451742,98.68671,0.5806968,15.0,10.0,17.0,14,0.15824905,21,5731,0,1106.1093,1,0,0,1,0,1,0,1,373510.06
121,121,0.24249494,60.438168,0.7274848,5.0,5.0,5.0,57,0.21251535,19,3293,16,628.0,3,7,0,1,0,1,0,1,269680.62
122,49,0.476528,43.444267,0.476528,8.0,17.0,17.0,12,0.020741327,24,5613,5,1340.0,2,5,0,1,0,1,0,1,168601.97
123,25,0.33333334,85.95231,1.0,1.0,3.0,3.0,5,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,309688.6
124,19,0.23938482,74.441376,0.47876963,9.0,23.0,25.0,18,0.000991363,33,6783,3,1106.1093,1,9,0,1,0,1,0,1,435909.12
125,1,0.5,55.23321,1.0,1.0,13.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,184324.9
126,59,0.26927054,61.502136,0.5385411,10.0,5.0,17.0,37,0.019508796,37,7687,11,176.0,5,5,0,1,0,1,0,1,354879.4
127,28,0.37972105,43.771828,0.7594421,5.0,3.0,9.0,54,0.11853738,30,6207,1,1183.0,1,0,0,1,0,1,0,1,203425.39
128,2,0.25684276,60.159405,0.7705283,5.0,4.0,9.0,54,0.30947912,35,7715,4,990.0,0,6,0,1,0,1,0,1,317296.3
129,6,0.9926359,65.10202,0.9926359,1.0,9.0,9.0,7,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,175899.98
130,96,0.5036332,35.99014,0.5036332,1.0,1.0,9.0,44,0.041116353,53,14892,4,1106.1093,1,4,0,1,0,1,0,1,155312.3
131,27,0.3256436,89.69296,0.9769308,1.0,1.0,1.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,265978.84
132,108,0.33333334,56.315712,1.0,12.0,19.0,28.0,15,0.019508796,37,7687,11,176.0,5,5,0,1,0,1,0,1,146061.73
133,127,0.28501374,45.92367,0.5700275,5.0,3.0,5.0,55,0.48624563,13,2514,19,1106.1093,0,6,0,1,0,1,0,1,176480.47
134,6,0.04266876,65.49667,0.08533752,1.0,5.0,17.0,45,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,180727.64
135,85,0.49278095,42.198944,0.49278095,10.0,16.0,22.0,35,0.03717782,52,11217,1,2300.0,1,7,0,1,0,1,0,1,87182.52
136,27,0.5,56.315712,1.0,10.0,2.0,5.0,45,0.07542368,11,3097,0,1106.1093,0,0,0,1,0,1,0,1,116942.67
137,56,0.56594604,40.812878,0.56594604,10.0,10.0,22.0,23,0.0,23,5067,4,1106.1093,2,6,0,1,0,1,0,1,292718.3
138,31,0.24388394,62.301292,0.48776788,10.0,11.0,12.0,14,0.15134622,32,5889,10,830.0,4,1,0,1,1,0,0,1,427526.0
139,1,0.5,63.67261,1.0,1.0,11.0,17.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,194510.14
140,169,0.5466791,33.25798,0.5466791,5.0,7.0,9.0,55,0.1789168,18,3594,4,192.0,1,5,0,1,0,1,0,1,201616.28
141,31,0.22388808,78.471985,0.67166424,8.0,5.0,5.0,65,0.15134622,32,5889,10,830.0,4,1,0,1,1,0,0,1,419692.97
142,61,0.3803979,45.586983,0.7607958,5.0,5.0,5.0,60,0.29820457,16,4048,3,1106.1093,1,3,0,1,0,1,0,1,177434.77
143,74,1.0,50.145176,1.0,1.0,8.0,12.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,171901.1
144,109,0.53323287,40.117363,0.53323287,10.0,5.0,22.0,40,0.0,25,5027,4,46.0,1,1,0,1,0,1,0,1,239038.6
145,34,0.47798884,60.366627,0.9559777,10.0,19.0,19.0,5,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,241737.81
146,62,0.5,71.30476,1.0,1.0,13.0,20.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,170564.4
147,27,0.33333334,56.315712,1.0,13.0,7.0,17.0,7,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,206780.55
148,9,0.57341033,37.470196,0.57341033,7.0,12.0,17.0,29,0.069753364,53,13670,4,1106.1093,1,11,0,1,0,1,0,1,187899.22
149,94,0.53025407,37.985752,0.53025407,9.0,8.0,16.0,48,0.52186704,25,6149,0,1106.1093,0,0,0,1,0,1,0,1,137656.12
150,46,0.24231678,69.80461,0.48463356,12.0,13.0,16.0,8,0.18878376,31,6137,4,1106.1093,0,1,0,1,0,1,0,1,465067.06
151,17,0.5585801,40.090755,0.5585801,8.0,6.0,16.0,42,0.09344257,23,4635,5,3300.0,2,4,0,1,0,1,0,1,145941.56
152,23,0.5,57.69962,1.0,10.0,1.0,1.0,45,0.03465608,0,168,0,1106.1093,0,0,0,1,0,1,0,1,114168.53
153,62,1.0,51.831474,1.0,1.0,1.0,1.0,7,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,131797.47
154,23,0.93074584,44.647896,0.93074584,1.0,9.0,25.0,45,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,123749.81
155,62,0.9063887,47.57728,0.9063887,1.0,1.0,1.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,128813.57
156,44,0.3352788,44.511406,0.6705576,5.0,5.0,5.0,62,0.12219048,25,4724,2,1308.0,1,3,0,1,0,1,0,1,189407.28
157,23,0.23434871,70.21458,0.70304614,9.0,1.0,1.0,5,0.005767451,1,388,0,1106.1093,0,0,0,1,0,1,0,1,111389.484
158,27,0.031391304,51.991066,0.094173916,1.0,22.0,25.0,45,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,174687.56
159,85,0.9181917,44.038525,0.9181917,1.0,15.0,22.0,40,0.03717782,52,11217,1,2300.0,1,7,0,1,0,1,0,1,202321.23
160,6,0.060028765,66.41984,0.060028765,1.0,1.0,1.0,45,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,193361.23
161,27,0.9424945,54.25519,0.9424945,5.8617096,3.0,3.0,5,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,147040.22
162,119,0.37023386,45.22269,0.7404677,5.0,6.0,9.0,54,0.000995363,42,7651,1,1106.1093,1,5,0,1,0,1,0,1,186508.2
163,99,0.3044434,47.018063,0.6088868,6.0,7.0,9.0,51,0.012338886,35,5776,1,2078.0,2,4,0,1,0,1,0,1,218392.94
164,96,0.30259913,57.639168,0.60519826,8.0,3.0,9.0,23,0.041116353,53,14892,4,1106.1093,1,4,0,1,0,1,0,1,144400.25
165,41,0.3060737,54.477867,0.6121474,8.0,7.0,12.0,39,6.99893e-05,46,10309,1,240.0,1,16,0,1,0,1,0,1,224277.83
166,57,0.27109402,56.384773,0.54218805,8.0,4.0,12.0,39,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,213877.56
167,1,0.5,71.00558,1.0,5.8617096,9.0,9.0,45,0.007122317,1,264,0,1106.1093,0,1,0,1,0,1,0,1,245130.11
168,98,0.3426253,47.698902,0.6852506,5.0,4.0,5.0,60,0.19578105,23,5212,6,1106.1093,3,2,0,1,0,1,0,1,189565.89
169,47,0.3230963,49.285202,0.6461926,6.0,7.0,12.0,45,0.29820457,16,4048,3,1106.1093,1,3,0,1,0,1,0,1,204117.83
170,7,0.3136048,81.46791,0.9408144,10.0,17.0,17.0,12,0.035145268,42,9292,3,2620.0,0,3,0,1,0,1,0,1,477665.6
171,52,0.5504583,32.827652,0.5504583,5.0,1.0,9.0,56,0.371149,34,7065,1,750.0,2,5,0,1,0,1,0,1,120670.1
172,47,0.26996917,56.922115,0.53993833,8.0,13.0,16.0,41,0.10187247,23,4583,3,1106.1093,3,3,0,1,0,1,0,1,254013.44
173,27,1.0,47.177185,1.0,1.0,4.0,4.0,45,0.07542368,11,3097,0,1106.1093,0,0,0,1,0,1,0,1,109264.48
174,6,0.5,67.170586,1.0,1.0,11.0,17.0,45,0.24320452,5,1564,0,540.0,0,0,0,1,0,1,0,1,192944.38
175,27,0.1833021,82.515915,0.5499063,1.0,1.0,1.0,45,0.017647052,2,469,0,1106.1093,0,0,0,1,0,1,0,1,207858.58
176,80,0.31387714,53.747253,0.6277543,8.0,6.0,22.0,38,0.007720282,38,4788,2,1106.1093,0,4,0,1,0,1,0,1,238623.89
177,27,0.2793606,62.64039,0.5587212,10.0,5.0,17.0,7,0.072157584,2,629,1,1106.1093,0,0,0,1,0,1,1,0,190968.19
178,57,1.0,29.298168,1.0,5.0,5.0,5.0,58,0.13321534,49,11395,3,1406.0,3,4,0,1,0,1,1,0,148991.27
179,86,0.48867303,36.805824,0.48867303,7.0,10.0,12.0,48,0.16197556,31,7010,5,4508.0,3,7,0,1,1,0,0,1,183891.14
180,61,0.23782746,54.52682,0.7134824,6.0,3.0,9.0,46,0.30032253,52,10311,6,1106.1093,1,9,0,1,0,1,0,1,245215.48
181,83,0.31538588,54.38667,0.63077176,8.0,11.0,12.0,44,0.10045574,43,7227,0,1106.1093,1,6,0,1,0,1,1,0,269995.0
182,52,0.5,64.222694,1.0,1.0,16.0,17.0,45,0.371149,34,7065,1,750.0,2,5,0,1,0,1,0,1,194618.92
183,44,0.33762553,47.917007,0.67525107,5.0,5.0,5.0,57,0.036122292,24,4378,0,1036.0,1,1,0,1,0,1,0,1,169711.38
184,74,1.0,48.743664,1.0,1.0,12.0,20.0,5,0.07577875,6,1437,3,1106.1093,0,2,0,1,0,1,0,1,165071.83
185,62,0.2162055,67.63261,0.6486165,7.0,8.0,9.0,49,0.002211665,39,7614,3,1106.1093,1,5,0,1,0,1,1,0,243008.14
